,Identifier,primer_start,primer_end,adaptor_start,adaptor_end
21165,GGBKTAO02BXPOV,1,21,298,317
21166,GGBKTAO02BRW03,1,21,301,320
21167,GGBKTAO02BTBOP,1,21,312,331
21168,GGBKTAO02BUABY,1,21,151,170
21169,GGBKTAO02BR9LN,1,21,NA,NA
21170,GGBKTAO02BMWZD,1,21,NA,NA
21171,GGBKTAO02BZAH7,1,21,NA,NA
21172,GGBKTAO02BON2T,1,21,NA,NA
21173,GGBKTAO02BYK8M,1,21,NA,NA
21174,GGBKTAO02B0IP8,1,21,NA,NA
21175,GGBKTAO02BSVR4,1,21,NA,NA
21176,GGBKTAO02BNI38,1,21,NA,NA
21177,GGBKTAO02BOHQK,NA,NA,NA,NA
21178,GGBKTAO02BMNEI,1,21,NA,NA
21179,GGBKTAO02BNI1A,NA,NA,NA,NA
21180,GGBKTAO02BR3FD,NA,NA,NA,NA
21181,GGBKTAO02BVU7B,1,21,207,226
21182,GGBKTAO02B0IQC,1,21,299,318
21183,GGBKTAO02BR6KM,1,21,317,336
