,Identifier,primer_start,primer_end,adaptor_start,adaptor_end
20779,GGBKTAO02BQOK2,NA,NA,NA,NA
20780,GGBKTAO02BNLWV,1,21,NA,NA
20781,GGBKTAO02BRZ2A,1,21,NA,NA
20782,GGBKTAO02BM9FJ,NA,NA,NA,NA
20783,GGBKTAO02BMWNF,1,21,NA,NA
20784,GGBKTAO02BQOIM,NA,NA,NA,NA
20785,GGBKTAO02BM55T,1,21,NA,NA
20786,GGBKTAO02BN4WT,NA,NA,NA,NA
20787,GGBKTAO02BUPWT,NA,NA,NA,NA
20788,GGBKTAO02BXL6R,1,21,NA,NA
20789,GGBKTAO02BPZE1,1,21,NA,NA
20790,GGBKTAO02BYUGJ,NA,NA,NA,NA
20791,GGBKTAO02BPC9M,1,21,NA,NA
20792,GGBKTAO02BS8AC,NA,NA,NA,NA
20793,GGBKTAO02BX8HY,1,21,301,320
20794,GGBKTAO02BVB5Y,NA,NA,NA,NA
20795,GGBKTAO02BSFTR,1,21,NA,NA
20796,GGBKTAO02BM9D3,1,21,NA,NA
20797,GGBKTAO02BOBBC,1,21,463,482
20798,GGBKTAO02BTHSR,NA,NA,NA,NA
20799,GGBKTAO02BMGWZ,1,21,NA,NA
20800,GGBKTAO02BNCJT,1,21,NA,NA
20801,GGBKTAO02BYBLR,1,21,NA,NA
20802,GGBKTAO02BNVHP,NA,NA,NA,NA
20803,GGBKTAO02BRANJ,1,21,151,170
20804,GGBKTAO02BWJ95,NA,NA,NA,NA
20805,GGBKTAO02BZM2H,1,21,NA,NA
20806,GGBKTAO02BM53W,1,21,NA,NA
20807,GGBKTAO02BMWSE,1,21,NA,NA
20808,GGBKTAO02BOKT9,1,21,NA,NA
20809,GGBKTAO02BPV21,1,21,NA,NA
20810,GGBKTAO02BNYMQ,1,21,NA,NA
20811,GGBKTAO02BQH9M,NA,NA,NA,NA
20812,GGBKTAO02BOQ4F,1,21,NA,NA
20813,GGBKTAO02BRNGT,1,21,NA,NA
20814,GGBKTAO02B1NLZ,NA,NA,NA,NA
20815,GGBKTAO02BV7PP,NA,NA,NA,NA
20816,GGBKTAO02BQX3M,NA,NA,NA,NA
20817,GGBKTAO02BWTTK,NA,NA,NA,NA
20818,GGBKTAO02BVIEE,NA,NA,NA,NA
20819,GGBKTAO02BOXC0,1,21,NA,NA
20820,GGBKTAO02BYUKD,NA,NA,NA,NA
20821,GGBKTAO02BW6ED,NA,NA,NA,NA
20822,GGBKTAO02BR23X,1,21,NA,NA
20823,GGBKTAO02BP8RP,1,21,NA,NA
20824,GGBKTAO02BMNBI,1,21,NA,NA
20825,GGBKTAO02BP5NJ,1,21,NA,NA
20826,GGBKTAO02B1NM5,NA,NA,NA,NA
20827,GGBKTAO02BO3PZ,1,21,NA,NA
20828,GGBKTAO02BM597,1,21,NA,NA
20829,GGBKTAO02BM59T,1,21,NA,NA
20830,GGBKTAO02BU5U2,NA,NA,NA,NA
20831,GGBKTAO02BNIRY,1,21,NA,NA
20832,GGBKTAO02BYUF5,NA,NA,NA,NA
20833,GGBKTAO02BPSWX,NA,NA,NA,NA
20834,GGBKTAO02BMWPP,1,21,NA,NA
20835,GGBKTAO02B0FHU,1,21,161,180
20836,GGBKTAO02BOXEE,1,21,NA,NA
20837,GGBKTAO02BT96S,NA,NA,NA,NA
20838,GGBKTAO02BRKA3,NA,NA,NA,NA
20839,GGBKTAO02BMQDB,NA,NA,NA,NA
20840,GGBKTAO02BW3DQ,NA,NA,NA,NA
20841,GGBKTAO02BQOM6,1,21,NA,NA
20842,GGBKTAO02BMZXV,1,21,NA,NA
20843,GGBKTAO02BXSO2,1,21,316,335
20844,GGBKTAO02BZ2R2,NA,NA,NA,NA
20845,GGBKTAO02BO909,1,21,NA,NA
20846,GGBKTAO02BUS3I,NA,NA,NA,NA
20847,GGBKTAO02B0B97,NA,NA,NA,NA
20848,GGBKTAO02B0YGU,NA,NA,NA,NA
20849,GGBKTAO02BZ5UK,NA,NA,NA,NA
20850,GGBKTAO02BMDQS,1,21,NA,NA
20851,GGBKTAO02BXCPG,NA,NA,NA,NA
20852,GGBKTAO02BNYLO,1,21,NA,NA
20853,GGBKTAO02BUGJW,NA,NA,NA,NA
20854,GGBKTAO02BUWA7,NA,NA,NA,NA
20855,GGBKTAO02BPSZT,1,21,299,318
20856,GGBKTAO02B1AYK,1,21,NA,NA
20857,GGBKTAO02BP8RE,NA,NA,NA,NA
20858,GGBKTAO02B0VA5,NA,NA,NA,NA
20859,GGBKTAO02BOKR9,1,21,NA,NA
20860,GGBKTAO02BUJOM,NA,NA,NA,NA
20861,GGBKTAO02BZADU,1,21,301,320
20862,GGBKTAO02BY32J,1,21,NA,NA
20863,GGBKTAO02BU8XP,1,21,NA,NA
20864,GGBKTAO02BQON0,1,21,NA,NA
20865,GGBKTAO02BOA65,1,21,NA,NA
20866,GGBKTAO02BV1EN,NA,NA,NA,NA
20867,GGBKTAO02BRTRA,1,21,NA,NA
20868,GGBKTAO02B1Z76,NA,NA,NA,NA
20869,GGBKTAO02BX8DW,NA,NA,NA,NA
20870,GGBKTAO02BRAQS,1,21,NA,NA
20871,GGBKTAO02BNCJ6,1,21,NA,NA
20872,GGBKTAO02BV7NV,NA,NA,NA,NA
20873,GGBKTAO02BXI4F,NA,NA,NA,NA
20874,GGBKTAO02BYBM6,NA,NA,NA,NA
20875,GGBKTAO02BZZJT,NA,NA,NA,NA
20876,GGBKTAO02BMJ0Y,1,21,NA,NA
20877,GGBKTAO02BQOPB,NA,NA,NA,NA
20878,GGBKTAO02BS1UU,1,21,NA,NA
20879,GGBKTAO02BNCFU,1,21,NA,NA
20880,GGBKTAO02BYETP,1,21,NA,NA
20881,GGBKTAO02BY32C,NA,NA,NA,NA
20882,GGBKTAO02BP5LZ,NA,NA,NA,NA
20883,GGBKTAO02BQICO,1,21,NA,NA
20884,GGBKTAO02BMZVY,1,21,NA,NA
20885,GGBKTAO02BQIAX,NA,NA,NA,NA
20886,GGBKTAO02BYREQ,1,21,NA,NA
20887,GGBKTAO02BNVIJ,1,21,NA,NA
20888,GGBKTAO02BPPTC,NA,NA,NA,NA
20889,GGBKTAO02BN74F,1,21,NA,NA
20890,GGBKTAO02BUGLM,NA,NA,NA,NA
20891,GGBKTAO02BM568,1,21,NA,NA
20892,GGBKTAO02BMGTI,1,21,NA,NA
20893,GGBKTAO02BPMNU,NA,NA,NA,NA
20894,GGBKTAO02BMWQP,1,21,NA,NA
20895,GGBKTAO02B1KGC,NA,NA,NA,NA
20896,GGBKTAO02BNLZH,1,21,NA,NA
20897,GGBKTAO02BMTLG,1,21,NA,NA
20898,GGBKTAO02BO3P3,NA,NA,NA,NA
20899,GGBKTAO02BYRE4,1,21,38,57
20900,GGBKTAO02BOHIP,NA,NA,NA,NA
20901,GGBKTAO02BUZFV,1,21,NA,NA
20902,GGBKTAO02BXPGP,1,21,97,116
20903,GGBKTAO02BNYPB,1,21,NA,NA
20904,GGBKTAO02B0RZF,NA,NA,NA,NA
20905,GGBKTAO02BXVP5,NA,NA,NA,NA
20906,GGBKTAO02BT3S7,1,21,NA,NA
20907,GGBKTAO02B01G8,NA,NA,NA,NA
20908,GGBKTAO02BV7MO,1,21,NA,NA
20909,GGBKTAO02BNYNY,1,21,NA,NA
20910,GGBKTAO02BYBG1,NA,NA,NA,NA
20911,GGBKTAO02BRNGM,1,21,NA,NA
20912,GGBKTAO02BMGXP,1,21,NA,NA
20913,GGBKTAO02BQE7B,1,21,NA,NA
20914,GGBKTAO02BYUG8,NA,NA,NA,NA
20915,GGBKTAO02B0R1R,NA,NA,NA,NA
20916,GGBKTAO02BV7PI,NA,NA,NA,NA
20917,GGBKTAO02BWTTR,NA,NA,NA,NA
20918,GGBKTAO02BQ09C,1,21,NA,NA
20919,GGBKTAO02BR9JV,NA,NA,NA,NA
20920,GGBKTAO02BSO67,NA,NA,NA,NA
20921,GGBKTAO02BMJY1,1,21,NA,NA
20922,GGBKTAO02BXVRO,NA,NA,NA,NA
20923,GGBKTAO02BNYJL,1,21,NA,NA
20924,GGBKTAO02BQE7F,1,21,NA,NA
20925,GGBKTAO02B13E9,1,21,NA,NA
20926,GGBKTAO02BUJL2,NA,NA,NA,NA
20927,GGBKTAO02BVIHB,1,21,NA,NA
20928,GGBKTAO02BVOQS,NA,NA,NA,NA
20929,GGBKTAO02BOEIE,1,21,NA,NA
20930,GGBKTAO02BUJP7,NA,NA,NA,NA
20931,GGBKTAO02BS43U,NA,NA,NA,NA
20932,GGBKTAO02BTXLK,NA,NA,NA,NA
20933,GGBKTAO02BQE19,NA,NA,NA,NA
20934,GGBKTAO02BOEFS,1,21,NA,NA
20935,GGBKTAO02BNO5S,1,21,NA,NA
20936,GGBKTAO02BMWPT,NA,NA,NA,NA
20937,GGBKTAO02BNO43,NA,NA,NA,NA
20938,GGBKTAO02BMTGJ,1,21,NA,NA
20939,GGBKTAO02BQ08P,1,21,NA,NA
20940,GGBKTAO02BPS10,NA,NA,NA,NA
20941,GGBKTAO02BN40R,1,21,NA,NA
20942,GGBKTAO02BTEKX,NA,NA,NA,NA
20943,GGBKTAO02BPZCX,1,21,NA,NA
20944,GGBKTAO02BPV8B,1,21,NA,NA
20945,GGBKTAO02BOEED,1,21,NA,NA
20946,GGBKTAO02BWG9J,NA,NA,NA,NA
20947,GGBKTAO02BR9IC,1,21,NA,NA
20948,GGBKTAO02BZWER,NA,NA,NA,NA
20949,GGBKTAO02BQIAM,1,21,NA,NA
20950,GGBKTAO02BTN0M,1,21,NA,NA
20951,GGBKTAO02BVE90,NA,NA,NA,NA
20952,GGBKTAO02BWTSE,NA,NA,NA,NA
20953,GGBKTAO02BN4VY,1,21,NA,NA
20954,GGBKTAO02BNO7A,1,21,NA,NA
20955,GGBKTAO02BSYS5,NA,NA,NA,NA
20956,GGBKTAO02BRWW7,NA,NA,NA,NA
20957,GGBKTAO02BTXJQ,NA,NA,NA,NA
20958,GGBKTAO02BXYUY,1,21,NA,NA
20959,GGBKTAO02BQ06L,1,21,NA,NA
20960,GGBKTAO02BPJKA,NA,NA,NA,NA
20961,GGBKTAO02B04SB,NA,NA,NA,NA
20962,GGBKTAO02BMTKN,1,21,NA,NA
20963,GGBKTAO02BO6YK,1,21,NA,NA
20964,GGBKTAO02BOKR6,1,21,NA,NA
20965,GGBKTAO02BN4YO,NA,NA,NA,NA
20966,GGBKTAO02BVOS6,1,21,NA,NA
20967,GGBKTAO02BS8AZ,NA,NA,NA,NA
20968,GGBKTAO02BOBAG,1,21,NA,NA
20969,GGBKTAO02BMQBT,1,21,NA,NA
20970,GGBKTAO02BQB0L,1,21,NA,NA
20971,GGBKTAO02BTKYS,1,21,NA,NA
20972,GGBKTAO02BSL2Y,NA,NA,NA,NA
20973,GGBKTAO02B0R23,1,21,NA,NA
20974,GGBKTAO02BT3UR,NA,NA,NA,NA
20975,GGBKTAO02BNO2P,1,21,NA,NA
20976,GGBKTAO02B16KA,1,21,NA,NA
20977,GGBKTAO02BPV5A,1,21,NA,NA
20978,GGBKTAO02BZDFD,NA,NA,NA,NA
20979,GGBKTAO02B0LSS,1,21,NA,NA
20980,GGBKTAO02B16PF,NA,NA,NA,NA
20981,GGBKTAO02B0VA0,NA,NA,NA,NA
20982,GGBKTAO02BQIDO,1,21,NA,NA
20983,GGBKTAO02BQE4C,1,21,NA,NA
20984,GGBKTAO02BP5OM,1,21,NA,NA
20985,GGBKTAO02BW6EH,NA,NA,NA,NA
20986,GGBKTAO02BRND4,NA,NA,NA,NA
20987,GGBKTAO02B0OVK,NA,NA,NA,NA
20988,GGBKTAO02BMZSJ,1,21,NA,NA
20989,GGBKTAO02BXVRY,NA,NA,NA,NA
20990,GGBKTAO02BWASB,1,21,NA,NA
20991,GGBKTAO02BYXRA,NA,NA,NA,NA
20992,GGBKTAO02BM53D,1,21,NA,NA
20993,GGBKTAO02BNVFV,1,21,NA,NA
20994,GGBKTAO02BP2ER,1,21,NA,NA
20995,GGBKTAO02BY0WW,1,21,NA,NA
20996,GGBKTAO02BU2OQ,NA,NA,NA,NA
20997,GGBKTAO02BMZTR,1,21,NA,NA
20998,GGBKTAO02BNO71,1,21,NA,NA
20999,GGBKTAO02BQ7HP,1,21,NA,NA
21000,GGBKTAO02BO9ZE,1,21,NA,NA
21001,GGBKTAO02BM22G,1,21,NA,NA
21002,GGBKTAO02BM55L,1,21,NA,NA
21003,GGBKTAO02BR28E,1,21,NA,NA
21004,GGBKTAO02B0R27,NA,NA,NA,NA
21005,GGBKTAO02BTQ6H,1,21,NA,NA
21006,GGBKTAO02BRGYI,1,21,NA,NA
21007,GGBKTAO02B01HQ,NA,NA,NA,NA
21008,GGBKTAO02BO3MH,1,21,NA,NA
21009,GGBKTAO02BOT6B,1,21,NA,NA
21010,GGBKTAO02BV7M9,NA,NA,NA,NA
